obs,total_shares,share_std,share_mean,num_participants,total_percent,percent_std,percent_mean,total_share_change,num_significant_changes,top_participant_shares,top_participant_percent,top3_percent
523,3390741139,74549745.60217062,8899583.04199475,381,31.31,0.7048043622981623,0.08217847769028871,-172500.0,16,2415461126,22.81,19.189999999999998
524,3390561139,74566695.56890711,8922529.313157896,380,31.31,0.7049080120931549,0.08239473684210526,-178000.0,8,2413865542,22.8,19.169999999999998
525,3390389639,74481717.32599503,8945619.100263853,379,31.34,0.7042051598030912,0.08269129287598945,-166500.0,12,2412368717,22.79,19.13
526,3390215127,74309708.54671438,8921618.755263157,380,31.31,0.70227884018057,0.08239473684210526,-180512.0,9,2413650206,22.8,19.119999999999997
527,3390042127,74273772.55412255,8897748.364829397,381,31.310000000000002,0.702104153061423,0.08217847769028871,-182500.0,6,2413322640,22.8,19.14
528,3389890627,74398189.62014383,8944302.44591029,379,31.290000000000003,0.7034499591379889,0.08255936675461742,-66200.0,8,2411771507,22.79,19.12
529,3389713127,74348097.46217658,8943834.10817942,379,31.31,0.7028989743996552,0.08261213720316622,-165500.0,9,2409763271,22.77,19.099999999999998
530,3389653627,74234714.69887829,8920141.12368421,380,31.31,0.7016507501386394,0.08239473684210526,-239500.0,3,2410629727,22.77,19.11
531,3389629627,74285058.82945828,8967274.145502646,378,31.3,0.7022665607276579,0.08280423280423281,13500.0,8,2409288129,22.759999999999998,19.07
532,3389564627,74216316.07333529,8943442.287598945,379,31.28,0.7015492461750715,0.08253298153034301,-99500.0,11,2409676166,22.77,19.08
533,3389552152,74291133.77473637,8967069.185185185,378,31.3,0.7024542567268752,0.08280423280423281,-6475.0,5,2409788709,22.77,19.08
534,3389620777,74255437.35946812,8967250.732804233,378,31.29,0.701891690491671,0.08277777777777777,68625.0,7,2408667189,22.76,19.060000000000002
535,3389622277,74071442.88831396,8943594.398416886,379,31.3,0.7002967359775395,0.08258575197889183,-76500.0,5,2407738269,22.76,19.04
536,3389542777,74155369.68366978,8967044.383597884,378,31.3,0.7011223051454625,0.08280423280423281,55788.0,7,2408387539,22.75,19.02
537,3389526277,74121505.3485652,8990785.880636605,377,31.28,0.7007429049424957,0.08297082228116712,8500.0,6,2406357695,22.73,18.99
538,3389720852,74007276.3833916,8991301.99469496,377,31.28,0.6995379795155473,0.08297082228116712,194575.0,5,2405540586,22.72,18.96
539,3389730852,73776387.9924609,8967541.936507937,378,31.3,0.6974520272203766,0.08280423280423281,-2170000.0,5,2403112312,22.71,18.939999999999998
540,3389581852,73521125.21104695,8967147.756613757,378,31.29,0.6948628919074297,0.08277777777777777,-149000.0,12,2399260751,22.67,18.88
541,3389628852,73521745.02739085,8967272.095238095,378,31.29,0.6948628919074297,0.08277777777777777,47000.0,0,2399304751,22.67,18.88
542,3389647352,73339244.02221212,8943660.559366755,379,31.27,0.6932908235089114,0.0825065963060686,-65500.0,4,2399803719,22.67,18.86
543,3389633352,73619559.56039238,8967284.0,378,31.28,0.6961434854390294,0.08275132275132276,-11000.0,4,2400719870,22.69,18.88
544,3389651352,73636100.79910982,8943671.113456465,379,31.279999999999998,0.6963312178228345,0.082532981530343,-117288.0,4,2401348735,22.689999999999998,18.93
545,3389922352,73833347.26880527,8968048.55026455,378,31.310000000000002,0.6981260843234469,0.08283068783068784,271500.0,6,2402864967,22.71,18.92
546,3389933352,73965443.0249212,8968077.650793651,378,31.29,0.6992542130477839,0.08277777777777777,11000.0,3,2400986391,22.68,18.93
547,3389786352,74167275.43637444,8967688.761904761,378,31.29,0.7012644573058441,0.08277777777777777,-147000.0,7,2402325305,22.7,18.990000000000002
548,3389732352,74300012.74558115,8967545.904761905,378,31.29,0.702351834216591,0.08277777777777777,-54000.0,3,2402213948,22.69,19.03
549,3389696352,74314649.67013332,8967450.666666666,378,31.27,0.7024203956072895,0.08272486772486773,-36000.0,12,2403054934,22.7,19.02
550,3389750352,74087896.66977118,8943932.327176781,379,31.27,0.7006850743158951,0.0825065963060686,48000.0,7,2403194888,22.720000000000002,19.04
551,3389711852,74258001.05030413,8967491.671957672,378,31.28,0.7018764894414161,0.08275132275132276,567690.0,6,2404118578,22.71,19.04
